Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.644,705.734,-321.654,905.026,-161.436,-39.57,-57.238,185.335
0.648,706.349,-322.05,904.839,-160.854,-39.769,-57.882,188.793
0.652,706.969,-322.435,904.648,-160.267,-39.961,-58.527,188.568
0.656,707.615,-322.814,904.453,-159.673,-40.146,-59.174,193.309
0.66,708.275,-323.192,904.285,-159.076,-40.326,-59.819,194.925
0.664,708.958,-323.557,904.097,-158.472,-40.498,-60.468,199.078
0.668,709.643,-323.908,903.914,-157.862,-40.663,-61.12,197.961
0.672,710.364,-324.249,903.734,-157.245,-40.82,-61.772,204.35
0.676,711.084,-324.583,903.555,-156.624,-40.97,-62.426,203.225
0.68,711.836,-324.916,903.38,-156.001,-41.115,-63.077,210.31
0.684,712.595,-325.231,903.207,-155.369,-41.251,-63.732,210.063
0.688,713.376,-325.542,903.042,-154.735,-41.381,-64.386,214.09
0.692,714.169,-325.832,902.869,-154.093,-41.502,-65.043,215.509
0.696,714.98,-326.129,902.704,-153.452,-41.617,-65.695,219.878
0.7,715.812,-326.412,902.559,-152.804,-41.725,-66.35,222.571
0.704,716.651,-326.681,902.391,-152.153,-41.824,-67.005,224.289
0.708,717.511,-326.944,902.243,-151.499,-41.917,-67.658,227.795
0.712,718.388,-327.199,902.099,-150.842,-42.003,-68.31,231.258
0.716,719.28,-327.437,901.952,-150.18,-42.08,-68.962,233.554
0.72,720.183,-327.667,901.801,-149.518,-42.149,-69.613,235.977
0.724,721.105,-327.891,901.669,-148.852,-42.213,-70.261,239.544
0.728,722.051,-328.106,901.544,-148.184,-42.269,-70.908,244.6
0.732,722.997,-328.311,901.42,-147.515,-42.317,-71.552,243.937
0.736,723.97,-328.5,901.289,-146.843,-42.356,-72.194,249.851
0.74,724.948,-328.679,901.182,-146.169,-42.389,-72.836,250.171
0.744,725.95,-328.854,901.066,-145.496,-42.415,-73.472,255.812
0.748,726.959,-329.009,900.963,-144.822,-42.433,-74.105,256.455
0.752,727.993,-329.162,900.869,-144.146,-42.445,-74.736,262.546
0.756,729.026,-329.293,900.768,-143.47,-42.446,-75.365,261.5
0.76,730.085,-329.425,900.675,-142.794,-42.443,-75.987,267.715
0.764,731.153,-329.545,900.597,-142.118,-42.432,-76.607,269.374
0.768,732.236,-329.656,900.526,-141.444,-42.414,-77.221,272.897
0.772,733.33,-329.749,900.457,-140.768,-42.387,-77.834,275.017
0.776,734.437,-329.831,900.382,-140.095,-42.353,-78.439,278.049
0.78,735.563,-329.912,900.346,-139.422,-42.315,-79.039,282.46
0.784,736.694,-329.972,900.285,-138.751,-42.267,-79.636,283.558
0.788,737.841,-330.024,900.247,-138.081,-42.214,-80.227,287.12
0.792,739.001,-330.061,900.212,-137.413,-42.152,-80.813,290.371
0.796,740.174,-330.089,900.187,-136.747,-42.085,-81.391,293.294
0.8,741.354,-330.102,900.155,-136.084,-42.009,-81.965,295.235
0.804,742.549,-330.106,900.146,-135.423,-41.928,-82.532,298.756
0.808,743.764,-330.094,900.142,-134.762,-41.84,-83.095,303.66
0.812,744.976,-330.08,900.15,-134.109,-41.747,-83.647,302.982
0.816,746.21,-330.041,900.15,-133.456,-41.645,-84.194,308.635
0.82,747.451,-329.992,900.167,-132.806,-41.537,-84.736,310.598
0.824,748.701,-329.934,900.196,-132.159,-41.423,-85.27,312.995
0.828,749.959,-329.858,900.218,-131.517,-41.303,-85.797,315.162
0.832,751.23,-329.779,900.268,-130.879,-41.178,-86.314,318.631
0.836,752.513,-329.671,900.312,-130.243,-41.044,-86.828,322.059
0.84,753.804,-329.56,900.374,-129.612,-40.907,-87.331,324.109
0.844,755.101,-329.431,900.428,-128.986,-40.762,-87.828,326.203
0.848,756.414,-329.297,900.523,-128.362,-40.614,-88.316,330.749
0.852,757.736,-329.145,900.601,-127.744,-40.46,-88.796,333.219
0.856,759.056,-328.968,900.685,-127.13,-40.297,-89.269,333.612
0.86,760.398,-328.788,900.791,-126.52,-40.131,-89.734,339.76
0.864,761.734,-328.593,900.901,-125.916,-39.96,-90.189,338.582
0.868,763.089,-328.383,901.014,-125.317,-39.784,-90.636,343.78
0.872,764.44,-328.154,901.137,-124.722,-39.601,-91.077,343.957
0.876,765.813,-327.916,901.278,-124.131,-39.415,-91.507,350.226
0.88,767.178,-327.656,901.419,-123.547,-39.223,-91.93,349.299
